"Photon energy, eV","n","k"
0.8550633616075842,3.485,1.3846e-13
0.861001301618748,3.486,2.0626e-13
0.867022289741956,3.487,2.8449e-13
0.8731280805147867,3.488,5.65e-13
0.8793204782489342,3.489,9.5374e-13
0.8856013388078552,3.49,1.5597e-12
0.891972571461149,3.491,2.5441e-12
0.8984361408195632,3.492,4.173e-12
0.9049940688547423,3.494,6.5413e-12
0.9116484370080861,3.495,1.0281e-11
0.9184013883933312,3.496,1.8263e-11
0.925255130097759,3.497,3.7322e-11
0.9322119355872158,3.499,8.467e-11
0.9392741472204523,3.5,1.6807e-10
0.9464441788786238,3.502,2.8147e-10
0.9537245187161516,3.503,4.6553e-10
0.9611177320395327,3.505,7.2885e-10
0.9686264643210915,3.506,1.2223e-9
0.9762534443551159,3.508,2.0213e-9
0.9840014875642834,3.509,3.6096e-9
0.9918734994647977,3.511,9.9472e-9
0.9998724792991912,3.513,2.3682e-8
1.0080015238463391,3.515,4.6004e-8
1.0162638314188501,3.517,7.9609e-8
1.0246627060586753,3.518,1.2518e-7
1.0332015619424977,3.52,2.1008e-7
1.0418839280092413,3.522,3.4091e-7
1.050713452822879,3.524,6.1036e-7
1.059693909684613,3.526,0.0000020483
1.0688292020094803,3.528,0.000003877
1.078123368983476,3.53,0.000006223
1.0875805915184187,3.532,0.0000090718
1.0972051985230065,3.535,0.000013488
1.1070016735098187,3.537,0.000017825
1.1169746615594567,3.54,0.000023849
1.1271289766645427,3.542,0.000030637
1.137469609477979,3.545,0.000040768
1.1480017354916638,3.547,0.000053285
1.1587307236738291,3.55,0.000068118
1.1696621455952803,3.553,0.000093631
1.1808017850771402,3.556,0.0001362
1.1921556483951896,3.559,0.00018704
1.2037299750786379,3.562,0.00024753
1.2155312493441148,3.565,0.00032386
1.227566212208908,3.568,0.00041071
1.2398418743309971,3.572,0.0005093
1.2523655296272698,3.575,0.00062238
1.2651447697255074,3.579,0.00074866
1.2781874993103064,3.583,0.00087225
1.2915019524281222,3.587,0.0010237
1.3050967098221022,3.591,0.0011793
1.3189807173734012,3.595,0.0013689
1.333163305732255,3.6,0.0015467
1.3476542112293446,3.604,0.0017571
1.3624635981659308,3.609,0.0019625
1.3776020825899968,3.614,0.0021701
1.3930807576752777,3.619,0.0024293
1.4089112208306787,3.624,0.0026821
1.425105602679307,3.63,0.0029839
1.441676598059299,3.635,0.0032781
1.4586374992129378,3.641,0.003612
1.4760022313464252,3.647,0.0039439
1.4937853907602376,3.654,0.0042734
1.5120022857695088,3.661,0.0046134
1.530668980655552,3.668,0.0049955
1.5498023429137464,3.675,0.0054113
1.5694200940898697,3.683,0.005834
1.5895408645269193,3.691,0.0063933
1.6101842523779184,3.699,0.0067402
1.6313708872776278,3.708,0.007197
1.6531224991079962,3.717,0.0078185
1.6754619923391854,3.727,0.008362
1.698413526480818,3.737,0.0089461
1.722002603237496,3.748,0.0096257
1.7462561610295735,3.759,0.010057
1.7712026776157104,3.772,0.010528
1.7968722816391265,3.784,0.011201
1.8232968740161721,3.798,0.011905
1.850510260195518,3.813,0.012743
1.8785482944409047,3.828,0.013498
1.9074490374323032,3.844,0.014431
1.937252928642183,3.861,0.015432
1.9680029751285668,3.879,0.016444
1.9997449585983824,3.898,0.017367
2.0325276628377003,3.918,0.018446
2.0664031238849954,3.94,0.019934
2.101426905645758,3.963,0.021081
2.1376584040189606,3.988,0.022524
2.1751611830368374,4.015,0.024131
2.2140033470196374,4.045,0.025758
2.2542579533290854,4.077,0.027968
2.2960034709833277,4.112,0.030295
2.3393242911905605,4.151,0.033108
2.3843112967903792,4.193,0.036415
2.4310624986882297,4.241,0.039367
2.4796837486619943,4.294,0.044165
2.5302895394510148,4.35,0.049131
2.5830039048562443,4.419,0.055004
2.6379614347468023,4.497,0.062086
2.695308422458689,4.587,0.071381
2.7552041651799937,4.691,0.086302
2.8178224416613573,4.812,0.107
2.883353196118598,4.949,0.138
2.9520044626928503,5.119,0.176
3.0240045715390176,5.33,0.227
3.099604685827493,5.613,0.296
3.1790817290538387,6.039,0.445
3.2627417745552556,6.616,0.946
3.3509239846783707,6.891,2.171
3.444005206474992,6.026,2.966
3.5424053552314207,5.494,2.938
3.6465937480323443,5.301,2.977
3.7570965888818093,5.195,3.1
3.874505857284366,5.112,3.303
3.999489917196765,5.121,3.598
4.132806247769991,4.976,4.234
4.275316808037921,4.356,5.286
4.428006694039275,2.959,5.287
4.592006941966655,2.068,4.68
4.7686225935807585,1.757,4.084
4.9593674973239885,1.665,3.665
